year,month,route,avg_ridership,city
2019,1,95,3924.064516129032,Chicago
2019,1,96,675.7727272727273,Chicago
2019,1,97,2076.548387096774,Chicago
2019,1,J14,7490.064516129032,Chicago
2019,1,X49,5509.363636363636,Chicago
2019,1,X9,6956.681818181818,Chicago
2019,1,X98,11.904761904761905,Chicago
2019,2,2,3581.1666666666665,Chicago
2019,2,4,16058.894736842105,Chicago
2019,2,15,6066.15,Chicago
2019,2,18,3295.9565217391305,Chicago
2019,2,19,234.22222222222223,Chicago
2019,2,20,14271.95652173913,Chicago
2019,2,34,3893.2380952380954,Chicago
2019,2,35,3974.6315789473683,Chicago
2019,2,36,10943.5,Chicago
2019,2,37,1725.25,Chicago
2019,2,39,1490.0,Chicago
2019,2,43,1163.875,Chicago
2019,2,44,2673.9523809523807,Chicago
2019,2,143,1825.8333333333333,Chicago
2019,2,146,10627.631578947368,Chicago
2019,2,147,9486.631578947368,Chicago
2019,2,148,2361.909090909091,Chicago
2019,2,151,12982.714285714286,Chicago
2019,2,152,7672.321428571428,Chicago
2019,2,155,5333.071428571428,Chicago
2019,2,156,6864.0,Chicago
2019,2,157,6835.55,Chicago
2019,2,165,202.0,Chicago
2019,2,169,138.13636363636363,Chicago
2019,2,171,1127.6842105263158,Chicago
2019,2,172,1860.4444444444443,Chicago
2019,2,192,848.4375,Chicago
2019,2,1,1813.7,Chicago
2019,2,100,476.3,Chicago
2019,2,1001,244.10714285714286,Chicago
2019,2,103,1671.607142857143,Chicago
2019,2,106,1101.6785714285713,Chicago
2019,2,108,1023.05,Chicago
2019,2,11,1232.7857142857142,Chicago
2019,2,111,2685.0714285714284,Chicago
2019,2,111A,146.42857142857142,Chicago
2019,2,112,1509.892857142857,Chicago
2019,2,115,2472.9285714285716,Chicago
2019,2,119,3338.6428571428573,Chicago
2019,2,12,10362.357142857143,Chicago
2019,2,120,921.4,Chicago
2019,2,121,1195.1,Chicago
2019,2,124,805.0,Chicago
2019,2,125,1181.4,Chicago
2019,2,126,4130.285714285715,Chicago
2019,2,130,466.4,Chicago
2019,2,134,2842.45,Chicago
2019,2,135,3390.1,Chicago
2019,2,136,1876.8,Chicago
2019,2,143,1692.0,Chicago
2019,2,146,11061.666666666666,Chicago
2019,2,147,10150.222222222223,Chicago
2019,2,148,2510.0,Chicago
2019,2,15,6687.125,Chicago
2019,2,151,10637.42857142857,Chicago
2019,2,171,1145.0,Chicago
2019,2,172,1748.3,Chicago
2019,2,18,3246.6,Chicago
2019,2,19,239.83333333333334,Chicago
2019,2,192,852.75,Chicago
2019,2,2,3560.0,Chicago
2019,2,20,13542.0,Chicago
2019,2,201,2341.5833333333335,Chicago
2019,2,206,703.3,Chicago
2019,2,21,7461.571428571428,Chicago
2019,2,22,14338.285714285714,Chicago
2019,2,24,2606.25,Chicago
2019,2,26,4153.8,Chicago
2019,2,28,4728.714285714285,Chicago
2019,2,29,9075.785714285714,Chicago
2019,2,3,13759.035714285714,Chicago
2019,2,30,2535.464285714286,Chicago
2019,2,31,583.05,Chicago
2019,2,34,3914.5714285714284,Chicago
2019,2,35,3763.0,Chicago
2019,2,36,11193.083333333334,Chicago
2019,2,37,1493.625,Chicago
2019,2,39,1378.0,Chicago
