year,month,mode,avg_ridership_chicago,avg_ridership_philadelphia
2023,7,rail_boardings,323235.96774193546,191104
2023,8,rail_boardings,358437.7419354839,201201
2023,9,rail_boardings,368564.43333333335,252559
2023,10,rail_boardings,371285.29032258067,266399
2023,11,rail_boardings,330680.8,259316
2023,12,rail_boardings,282792.2580645161,243838
2024,1,rail_boardings,275880.0967741936,238817
2024,2,rail_boardings,320690.3103448276,257171
2024,3,rail_boardings,326046.4193548387,250580
2024,4,rail_boardings,348611.3,274656
2024,5,rail_boardings,365498.0967741936,269949
2024,6,rail_boardings,364289.0333333333,261852
2024,7,rail_boardings,363863.1612903226,261900
2024,8,rail_boardings,378861.06451612903,279245
2024,9,rail_boardings,388865.9,314621
2024,10,rail_boardings,407447.5806451613,317683
2024,11,rail_boardings,343753.1666666667,308695
2024,12,rail_boardings,295236.0967741936,285100
2025,1,rail_boardings,295232.1612903226,282604
2025,2,rail_boardings,313621.71428571426,305500
2025,3,rail_boardings,344146.77419354836,289200
2025,4,rail_boardings,374914.5,299200
2025,5,rail_boardings,379848.87096774194,305000
2025,6,rail_boardings,394294.6,295516
2025,7,rail_boardings,400119.87096774194,280426
2025,8,rail_boardings,418389.5806451613,273112
2025,9,rail_boardings,424427.1,313951
2025,10,rail_boardings,429807.93548387097,309604
